Lanes,SpeedLimit,AADT_min,AADT_max,PTLS
1,20,0,750,1
1,25,0,750,1
1,30,0,750,2
1,35,0,750,4
1,40,0,750,4
1,45,0,750,4
1,50,0,750,4
1,20,751,1500,1
1,25,751,1500,1
1,30,751,1500,2
1,35,751,1500,4
1,40,751,1500,4
1,45,751,1500,4
1,50,751,1500,4
1,20,1501,3000,1
1,25,1501,3000,1
1,30,1501,3000,2
1,35,1501,3000,4
1,40,1501,3000,4
1,45,1501,3000,4
1,50,1501,3000,4
1,20,3001,999999,2
1,25,3001,999999,2
1,30,3001,999999,2
1,35,3001,999999,4
1,40,3001,999999,4
1,45,3001,999999,4
1,50,3001,999999,4
2,20,0,7000,2
2,25,0,7000,2
2,30,0,7000,2
2,35,0,7000,4
2,40,0,7000,4
2,45,0,7000,4
2,50,0,7000,4
2,20,7001,999999,2
2,25,7001,999999,2
2,30,7001,999999,3
2,35,7001,999999,4
2,40,7001,999999,4
2,45,7001,999999,4
2,50,7001,999999,4
3,20,0,999999,2
3,25,0,999999,2
3,30,0,999999,3
3,35,0,999999,4
3,40,0,999999,4
3,45,0,999999,4
3,50,0,999999,4
