Lanes,SpeedLimit,AADT_min,AADT_max,BTLS,BikeFacility
3,25,0,999999,3,BufferedBikeLane
3,30,0,999999,3,BufferedBikeLane
3,35,0,999999,4,BufferedBikeLane
3,40,0,999999,4,BufferedBikeLane
3,45,0,999999,4,BufferedBikeLane
3,50,0,999999,4,BufferedBikeLane
1,20,0,750,1,ProtectedBikeLane
1,25,0,750,1,ProtectedBikeLane
1,30,0,750,1,ProtectedBikeLane
1,35,0,750,2,ProtectedBikeLane
1,40,0,750,2,ProtectedBikeLane
1,45,0,750,2,ProtectedBikeLane
1,50,0,750,2,ProtectedBikeLane
1,20,751,1500,1,ProtectedBikeLane
1,25,751,1500,1,ProtectedBikeLane
1,30,751,1500,1,ProtectedBikeLane
1,35,751,1500,2,ProtectedBikeLane
1,40,751,1500,2,ProtectedBikeLane
1,45,751,1500,2,ProtectedBikeLane
1,50,751,1500,2,ProtectedBikeLane
1,20,1501,3000,1,ProtectedBikeLane
1,25,1501,3000,1,ProtectedBikeLane
1,30,1501,3000,1,ProtectedBikeLane
1,35,1501,3000,2,ProtectedBikeLane
1,40,1501,3000,2,ProtectedBikeLane
1,45,1501,3000,2,ProtectedBikeLane
1,50,1501,3000,2,ProtectedBikeLane
1,20,3001,999999,2,ProtectedBikeLane
1,25,3001,999999,2,ProtectedBikeLane
1,30,3001,999999,2,ProtectedBikeLane
1,35,3001,999999,3,ProtectedBikeLane
1,40,3001,999999,4,ProtectedBikeLane
1,45,3001,999999,4,ProtectedBikeLane
1,50,3001,999999,4,ProtectedBikeLane
2,20,0,6000,2,ProtectedBikeLane
2,25,0,6000,2,ProtectedBikeLane
2,30,0,6000,2,ProtectedBikeLane
2,35,0,6000,2,ProtectedBikeLane
2,40,0,6000,2,ProtectedBikeLane
2,45,0,6000,2,ProtectedBikeLane
2,50,0,6000,2,ProtectedBikeLane
2,20,6001,999999,2,ProtectedBikeLane
2,25,6001,999999,2,ProtectedBikeLane
2,30,6001,999999,2,ProtectedBikeLane
2,35,6001,999999,2,ProtectedBikeLane
2,40,6001,999999,2,ProtectedBikeLane
2,45,6001,999999,2,ProtectedBikeLane
2,50,6001,999999,2,ProtectedBikeLane
3,20,0,999999,2,ProtectedBikeLane
3,25,0,999999,2,ProtectedBikeLane
3,30,0,999999,2,ProtectedBikeLane
3,35,0,999999,2,ProtectedBikeLane
3,40,0,999999,2,ProtectedBikeLane
3,45,0,999999,2,ProtectedBikeLane
3,50,0,999999,2,ProtectedBikeLane
